module_id,service_index,service,method_index,method,request_type,response_type,flow_role,request_live_count,response_live_count,total_live_count,live_directions,evidence_status,source_session
elites,32,ElitesClient,0,NotifyElitesTooLowLevel,Casino.NotifyElitesTooLowLevelRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
elites,32,ElitesClient,1,NotifyElitesActive,Casino.NotifyElitesActiveRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
elites,32,ElitesClient,2,NotifyElitesSoon,Casino.EmptyRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
elites,32,ElitesClient,3,NotifyElitesMilestoneCompleted,Casino.NotifyElitesMilestoneCompletedRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
elites,32,ElitesClient,4,NotifyElitesCalculating,Casino.EmptyRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
elites,32,ElitesClient,5,PlayTogetherInfo,Casino.PlayTogetherInfoRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
game_runtime,2,GameHost,0,Connect,Casino.GameServerConnectRequest,Casino.GameServerConnectResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,1,GameConnect,Casino.GameHostConnectRequest,Casino.GameHostConnectResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,2,UpdateUser,Casino.UpdateUserRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,3,UpdateLeaderboard,Casino.UpdateLeaderboardRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,4,UpdateStatistic,Casino.UpdateStatisticRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,5,LogEvent,Casino.LogEventRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,11,Disconnect,Casino.GameHostDisconnectRequest,Casino.GameHostDisconnectResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,12,DisconnectPlayer,Casino.DisconnectPlayerRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,13,UpdateMetrics,Casino.UpdateMetricsRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,2,GameHost,18,UpdateRoomInfo,Casino.UpdateRoomInfoRequest,Casino.EmptyResponse,game process -> host request/response,0,0,0,,schema-only,
game_runtime,3,GameServer,0,PlayerJoin,Casino.PlayerJoinRequest,Casino.PlayerJoinResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,1,PlayerLeft,Casino.PlayerLeftRequest,Casino.PlayerLeftResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,3,DuplicateGame,Casino.DuplicateGameRequest,Casino.DuplicateGameResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,4,CloseGame,Casino.CloseGameRequest,Casino.CloseGameResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,5,ReserveSeat,Casino.ReserveSeatRequest,Casino.ReserveSeatResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,6,ResetUserInactivity,Casino.ResetUserInactivityRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
game_runtime,3,GameServer,7,ExecuteCommand,Casino.ExecuteCommandRequest,Casino.ExecuteCommandResponse,client request -> server response/update,0,0,0,,schema-only,
