domain,service,method,payload_type,field_path,value_type,messages_seen
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,product_id,string,2
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,rewards_data.reward[].id,integer,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,rewards_data.reward[].loyalty_points,string,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseResponse,request_id,string,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseResponse,status,string,2
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,id.config_id,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,id.offer_type,integer,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.config_id,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.created_at,integer,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.item[].metadata[].key,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.item[].metadata[].value,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.item[].source,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.item[].type,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.item[].value,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.metadata[].key,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.metadata[].value,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.product_id,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.signature,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,paid_offer.source,string,1
offers/economy,AppServer,StartPersonalOffer,Casino.StartPersonalOfferRequest,scenario,integer,1
